"","spp","sp_code","Division","Family","Genus","Consv_stat","Native_stat","Coastal","Ha_pres","Ma_pres","Ka_pres","Oa_pres","Mo_pres","La_pres","Ke_pres","Ni_pres","Cover_D","Cover_1","Cover_2","Cover_3","CCE_Area","Vulnerability","Tolerate","Migrate","Micro_refugia","Eff_Mrf_A","Eff_Tol_A","Eff_Mig_A","Habqual_Mrg","Habqual_Tol","Habqual_Mig","Dispersion","Quality_avg","Area_avg","nonNat_comp","Pioneer","Winkout","Overlap_sp","Dist_Ces","p_tol_pts","n_fce_bioreg","Overlap_Ces","change_CE_A","Prox_to_top","Tot_A_MR","Tot_A_TL","Tot_A_MG","new_lava_MR","new_lava_TL","new_lava_MG","Hi_mod_A_MR","Hi_mod_A_TL","Hi_mod_A_MG","SLR_A_lost in_MR","Natvcov_MR","Natvcov_TL","Natvcov_MG","prot_A_MR","prot_A_TL","prot_A_MG","Ung_A_MR","Ung_A_TL","Ung_A_MG","Inv_MR","Inv_TL","Inv_MG","Frag_MR","Frag_TL","Frag_MG","ppt_grad_MR","Slope_MR","Asp_var_MR","SlopeVar_MR"
"200","Ctenitis squamigera",200,"Pteridophyte","Dryopteridaceae","Ctenitis","Endangered","Endemic","Non_coastal",0,1,1,1,1,1,0,0,"na","Wet_mesic_forest","Mesic_forest","Perennial_grassland",915.0102,0.383838236489015,"Medium","Large","Medium","Large","Medium","Large","Very_small","Small","Medium","Large","Small","Large","No","No","No","Yes","Medium","Large","Many","Medium","Medium_decrease","Far","Large","Medium","Large","Small","Small","Small","Large","Medium","Medium","Small","Small","Small","Large","Small","Medium","Large","Small","Medium","Large","Medium","Large","Large","Large","Large","Medium","Medium","Medium","Large","Medium"
"201","Cuscuta sandwichiana",201,"Dicot","Convolvulaceae","Cuscuta","Apparently Secure","Endemic","Coastal",1,1,1,1,1,1,0,1,"na","Decidious_shrubland","Perennial_grassland","Dry_forest",2439.0171,0.403918479318429,"Small","Medium","Medium","Very_large","Medium","Very_large","Very_small","Very_small","Very_small","Small","Very_small","Very_large","Yes","No","No","Yes","Large","none","Many","Small","Large_decrease","Close","Very_large","Medium","Large","Large","Medium","Medium","Large","Large","Large","Large","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Medium","Large","Large","Large","Low","Low","Small","Large"
"202","Cyanea aculeatiflora",202,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",143.4762,0.400832504876369,"Medium","Medium","Medium","Small","Small","Small","Large","Large","Very_large","Medium","Large","Small","No","No","No","Yes","Medium","Medium","Few","Medium","Medium_decrease","Far","Small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Small","Small","Small","Small","High","Medium","Small","Medium"
"203","Cyanea acuminata",203,"Dicot","Campanulaceae","Cyanea","Rare","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",300.7197,0.465909488102392,"Medium","Small","Small","Medium","Small","Very_small","Small","Large","Large","Small","Medium","Small","No","No","No","Yes","Medium","Medium","Few","Small","Large_decrease","Far","Medium","Small","Very_small","Small","Small","Small","Medium","Small","Small","Small","Small","Large","Large","Small","Medium","Medium","Small","Medium","Large","Small","Small","Large","Large","Medium","Small","High","High","Large","Small"
"204","Cyanea angustifolia",204,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,1,0,1,1,1,0,0,"na","Wet_mesic_forest","Wet_forest","Mesic_forest",933.8814,0.357953805799047,"Large","Large","Medium","Large","Large","Medium","Very_small","Medium","Large","Large","Medium","Large","Yes","No","No","Yes","Medium","none","Many","Medium","Medium_decrease","Far","Large","Medium","Medium","Small","Small","Small","Large","Medium","Small","Small","Small","Medium","Large","Small","Small","Medium","Small","Large","Large","Medium","Small","Medium","Large","Medium","Small","Medium","Medium","Large","Medium"
"205","Cyanea arborea",205,"Dicot","Campanulaceae","Cyanea","Extinct","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Perennial_grassland","Perennial_grassland","Wet_mesic_forest","Dry_forest",20.9664,0.530528165582908,"Very_small","Medium","Very_small","Very_small","Very_small","Medium","Small","Very_small","Medium","Large","Small","Very_small","No","No","No","No","Large","none","Few","Small","Small_decr_or_inc","Far","Very_small","Very_small","Medium","Medium","none","Small","Small","none","Small","Small","Small","none","Large","Small","none","Large","Large","none","Large","Large","Small","Large","Large","none","Small","Low","Medium","Medium","Small"
"206","Cyanea asarifolia",206,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Decidious_shrubland",176.382,0.422692945550362,"Medium","Medium","Small","Small","Small","Medium","Medium","Large","Large","Medium","Large","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Small","Small","Medium","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Medium","Small","Small","Small","Medium","Medium","Small","Small","Medium","Medium","Small","Small","High","High","Large","Small"
"207","Cyanea asplenifolia",207,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",118.4463,0.434961630570377,"Very_small","Large","Medium","Small","Very_small","Large","Large","Very_small","Large","Large","Medium","Small","No","No","No","No","Large","Small","Few","Small","Small_decr_or_inc","Far","Small","Very_small","Large","Small","none","Small","Medium","none","Small","Small","Medium","none","Large","Large","none","Large","Large","none","Large","Small","Small","Medium","Medium","none","Small","High","Medium","Medium","Medium"
"208","Cyanea calycina",208,"Dicot","Campanulaceae","Cyanea","Rare","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",320.6286,0.451173862444376,"Medium","Small","Small","Medium","Medium","Very_small","Small","Large","Large","Small","Medium","Small","No","No","No","Yes","Medium","Large","Few","Medium","Large_decrease","Far","Medium","Medium","Very_small","Small","Small","Small","Medium","Small","Small","Small","Small","Large","Medium","Small","Medium","Medium","Small","Medium","Large","Small","Small","Medium","Large","Large","Small","High","High","Large","Small"
"209","Cyanea comata",209,"Dicot","Campanulaceae","Cyanea","Extinct","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Perennial_grassland","Perennial_grassland","Wet_mesic_forest","Dry_forest",51.8976,0.565007911784771,"Very_small","Small","Very_small","Very_small","Very_small","Medium","Very_small","Very_small","Very_small","Large","Very_small","Very_small","No","No","No","No","Large","none","Few","Small","Small_decr_or_inc","Far","Very_small","Very_small","Medium","Medium","none","Medium","Medium","none","Small","Small","Small","none","Small","Small","none","Small","Medium","none","Large","Large","Small","Large","Large","none","Large","Low","Medium","Medium","Medium"
"210","Cyanea copelandii",210,"Dicot","Campanulaceae","Cyanea","Vulnerable","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",408.78,0.395952640289883,"Medium","Medium","Medium","Medium","Medium","Small","Large","Large","Medium","Small","Large","Medium","No","No","No","Yes","Large","Medium","Few","Medium","Large_decrease","Far","Medium","Medium","Small","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Large","Large","Large","Large","Small","Large","Large","Small","Large","Large","Medium","Small","Small","Medium","Low","Small","Large"
"211","Cyanea coriacea",211,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_mesic_forest","Wet_mesic_forest","Decidious_shrubland","Wet_forest",266.2785,0.424866623489519,"Medium","Large","Small","Medium","Small","Large","Small","Medium","Medium","Medium","Medium","Medium","No","No","No","Yes","Large","none","Few","Small","Medium_decrease","Far","Medium","Small","Large","Small","Small","Small","Large","Small","Small","Small","Small","Medium","Large","Medium","Medium","Medium","Small","Small","Small","Medium","Small","Small","Large","Medium","Medium","Medium","Medium","Medium","Medium"
"212","Cyanea crispa",212,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",317.7315,0.457654939268886,"Small","Medium","Small","Medium","Medium","Small","Small","Small","Large","Small","Medium","Medium","No","No","No","Yes","Medium","Small","Few","Medium","Large_decrease","Far","Medium","Medium","Small","Small","Small","Small","Medium","Small","Small","Small","Small","Medium","Large","Small","Small","Medium","Small","Small","Medium","Small","Small","Small","Large","Large","Medium","High","High","Large","Small"
"213","Cyanea dunbariae",213,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,0,1,0,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",39.1833,0.482089960005463,"Very_small","Medium","Small","Very_small","Very_small","Medium","Large","Very_small","Large","Medium","Medium","Very_small","No","No","No","No","Large","none","Few","Small","Medium_decrease","Far","Very_small","Very_small","Medium","Small","none","Small","Small","none","Small","Small","Large","none","Large","Medium","none","Large","Small","none","Large","Small","Small","Medium","Small","none","Small","Medium","High","Large","Small"
"214","Cyanea elliptica",214,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,1,0,0,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",371.169,0.315761387115316,"Large","Large","Medium","Medium","Medium","Large","Large","Very_large","Large","Large","Large","Medium","No","No","No","Yes","Medium","none","Many","Medium","Small_decr_or_inc","Close","Medium","Medium","Large","Small","Small","Small","Medium","Small","Small","Small","Medium","Large","Large","Large","Large","Large","Large","Large","Large","Small","Small","Medium","Medium","Small","Small","High","High","Medium","Medium"
"215","Cyanea fauriei",215,"Dicot","Campanulaceae","Cyanea","Rare","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"na","Wet_mesic_forest","Wet_forest","Decidious_shrubland",104.5116,0.506177491223124,"Small","Small","Small","Small","Small","Medium","Small","Medium","Small","Small","Small","Small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Far","Small","Small","Medium","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Medium","Medium","Small","Small","Small","Small","Small","Medium","Medium","Large","Large","Medium","Medium","Medium","High","Large","Small"
"216","Cyanea fissa",216,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"na","Wet_mesic_forest","Wet_forest","Decidious_shrubland",692.0046,0.427109675234511,"Medium","Large","Small","Medium","Medium","Large","Very_small","Medium","Large","Medium","Small","Medium","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Medium","Medium","Large","Small","Small","Small","Large","Small","Small","Small","Small","Medium","Large","Small","Large","Large","Small","Small","Medium","Large","Large","Large","Large","Medium","Small","Medium","Medium","Medium","Medium"
"217","Cyanea floribunda",217,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",2105.8083,0.253489128351764,"Very_large","Large","Large","Large","Large","Medium","Large","Very_large","Very_large","Very_large","Large","Large","No","No","No","Yes","Medium","none","Many","Large","Small_decr_or_inc","Far","Large","Large","Medium","Large","Large","Large","Large","Medium","Small","Small","Large","Large","Large","Medium","Large","Large","Small","Medium","Large","Small","Small","Small","Medium","Small","Small","Low","Low","Small","Large"
"218","Cyanea gibsonii",218,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,0,0,1,0,0,"Wet_forest","Wet_forest","Mesic_forest","Mesic_shrubland",4.4163,0.556349363757398,"Very_small","Very_small","Small","Very_small","Very_small","Very_small","Very_large","Very_small","Very_small","Very_small","Small","Very_small","No","No","Yes","No","none","Small","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","none","Small","Small","Small","Small","Large","none","none","Small","none","none","Large","none","none","Small","Small","Small","Small","none","none","Low","High","Medium","Small"
"219","Cyanea giffardii",219,"Dicot","Campanulaceae","Cyanea","Extinct","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",39.5181,0.50923438661633,"Very_small","Medium","Small","Very_small","Very_small","Medium","Medium","Very_small","Small","Large","Small","Very_small","No","No","No","No","Large","none","Few","Small","Small_decr_or_inc","Far","Very_small","Very_small","Medium","Large","none","Large","Medium","none","Small","Small","Medium","none","Large","Medium","none","Large","Small","none","Medium","Small","Small","Large","Large","none","Large","Low","Low","Small","Small"
"220","Cyanea glabra",220,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",176.3001,0.412818338147097,"Medium","Medium","Medium","Small","Small","Small","Large","Large","Large","Small","Large","Small","No","No","No","Yes","Medium","Small","Few","Medium","Large_decrease","Far","Small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Medium","Medium","Small","Small","Small","High","Medium","Medium","Medium"
"221","Cyanea grimesiana",221,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,1,1,0,0,0,"na","Wet_mesic_forest","Wet_forest","Mesic_forest",341.8434,0.41097535282847,"Medium","Large","Small","Medium","Medium","Medium","Small","Medium","Large","Medium","Medium","Medium","No","No","No","Yes","Small","Medium","Few","Medium","Medium_decrease","Far","Medium","Medium","Medium","Small","Small","Small","Medium","Medium","Small","Small","Small","Medium","Large","Small","Medium","Medium","Small","Small","Medium","Small","Small","Medium","Large","Medium","Small","High","High","Large","Small"
"222","Cyanea habenata",222,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",6.8679,0.517045635628801,"Very_small","Medium","Small","Very_small","Very_small","Medium","Medium","Very_small","Large","Small","Small","Very_small","No","No","No","No","Large","none","Few","Small","Small_decr_or_inc","Close","Very_small","Very_small","Medium","Small","none","Small","Small","none","Small","Small","Large","none","Large","Small","none","Large","Medium","none","Medium","Medium","Small","Medium","Medium","none","Small","Medium","High","Large","Small"
"223","Cyanea hamatiflora",223,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",636.9435,0.367240275383882,"Medium","Large","Medium","Medium","Medium","Medium","Medium","Large","Very_large","Medium","Large","Medium","No","No","No","Yes","Medium","Small","Few","Medium","Medium_decrease","Far","Medium","Medium","Medium","Medium","Large","Medium","Medium","Small","Small","Small","Medium","Large","Large","Medium","Medium","Large","Medium","Large","Large","Medium","Medium","Small","Medium","Small","Small","Medium","Low","Small","Medium"
"224","Cyanea hardyi",224,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_mesic_forest","Wet_mesic_forest","Wet_forest","Decidious_shrubland",209.0682,0.491563132558639,"Small","Medium","Small","Small","Small","Medium","Small","Medium","Small","Medium","Small","Small","No","No","No","Yes","Large","none","Few","Small","Medium_decrease","Far","Small","Small","Medium","Small","Small","Small","Medium","Small","Small","Small","Small","Medium","Medium","Medium","Small","Large","Small","Small","Small","Medium","Medium","Large","Large","Medium","Medium","Medium","Medium","Large","Medium"
"225","Cyanea hirtella",225,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"na","Wet_forest","Wet_mesic_forest","Decidious_shrubland",515.3931,0.429054773665646,"Medium","Medium","Small","Medium","Medium","Small","Small","Large","Large","Medium","Medium","Medium","No","No","No","Yes","Medium","none","Few","Large","Medium_decrease","Far","Medium","Medium","Small","Small","Small","Small","Medium","Small","Small","Small","Small","Large","Large","Medium","Large","Large","Small","Medium","Large","Medium","Large","Large","Large","Small","Small","Medium","Medium","Large","Medium"
"226","Cyanea horrida",226,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"na","Wet_forest","Perennial_grassland","Wet_mesic_forest",276.7374,0.413004910839257,"Medium","Medium","Medium","Small","Medium","Medium","Medium","Large","Medium","Medium","Medium","Medium","No","No","No","Yes","Medium","Large","Few","Medium","Medium_decrease","Far","Small","Medium","Medium","Medium","Medium","Small","Medium","Small","Small","Small","Medium","Medium","Large","Medium","Medium","Large","Large","Large","Large","Large","Large","Large","Small","Small","Medium","High","Medium","Medium","Medium"
"227","Cyanea humboldtiana",227,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",207.7506,0.453088858001603,"Medium","Small","Medium","Medium","Small","Very_small","Small","Large","Large","Small","Medium","Small","No","No","No","Yes","Medium","Medium","Few","Small","Large_decrease","Far","Small","Small","Very_small","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Small","Small","Large","Small","Small","Small","Small","Small","Small","Large","Medium","Small","High","High","Large","Small"
"228","Cyanea kahiliensis",228,"Dicot","Campanulaceae","Cyanea","Rare","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",109.1349,0.435665984554171,"Small","Medium","Medium","Small","Very_small","Medium","Medium","Large","Medium","Medium","Large","Small","No","No","No","Yes","Large","none","Few","Small","Medium_decrease","Far","Small","Very_small","Medium","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Small","Small","Medium","Small","Medium","Medium","Small","Small","Medium","Medium","Small","Small","High","High","Large","Small"
"229","Cyanea kolekoleensis",229,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Decidious_shrubland",23.5026,0.510149652039626,"Very_small","Medium","Small","Very_small","Very_small","Small","Large","Very_small","Large","Small","Medium","Very_small","No","No","No","No","Large","none","Few","Small","Large_decrease","Far","Very_small","Very_small","Small","Small","none","Small","Small","none","Small","Small","Large","none","Large","Small","none","Small","Medium","none","Medium","Small","Small","Small","Small","none","Small","High","High","Large","Small"
"230","Cyanea koolauensis",230,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",94.131,0.544012378266465,"Very_small","Small","Small","Small","Very_small","Small","Small","Very_small","Medium","Very_small","Small","Very_small","No","No","No","No","Large","Small","Few","Small","Large_decrease","Close","Small","Very_small","Small","Small","none","Small","Small","none","Small","Small","Medium","none","Large","Small","none","Medium","Small","none","Medium","Small","Small","Small","Large","none","Medium","High","High","Large","Small"
"231","Cyanea kunthiana",231,"Dicot","Campanulaceae","Cyanea","Rare","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",136.7172,0.439795393615963,"Medium","Medium","Medium","Small","Small","Small","Large","Large","Large","Very_small","Large","Small","No","No","No","Yes","Large","Medium","Few","Medium","Large_decrease","Close","Small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Medium","Small","Small","Small","High","Medium","Small","Medium"
"232","Cyanea lanceolata",232,"Dicot","Campanulaceae","Cyanea","Rare","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",198.9999,0.470633980818257,"Small","Small","Small","Medium","Small","Small","Small","Medium","Large","Very_small","Medium","Small","No","No","No","Yes","Large","Small","Few","Small","Large_decrease","Close","Small","Small","Small","Small","Small","Small","Medium","Small","Small","Small","Medium","Large","Large","Small","Small","Medium","Small","Small","Large","Small","Small","Small","Large","Medium","Medium","High","High","Large","Small"
"233","Cyanea leptostegia",233,"Dicot","Campanulaceae","Cyanea","Vulnerable","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Mesic_forest","Mesic_forest","Wet_mesic_forest","Wet_forest",62.6004,0.562914372176462,"Very_small","Very_small","Small","Small","Very_small","Very_small","Small","Small","Small","Very_small","Small","Very_small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Close","Small","Very_small","Very_small","Small","Small","Small","Medium","Medium","Medium","Small","Medium","Medium","Medium","Large","Large","Large","Small","Small","Small","Large","Large","Large","Large","Large","Large","Low","Medium","Medium","Medium"
"234","Cyanea lobata",234,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,1,0,0,0,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",109.8495,0.456549769233699,"Medium","Medium","Small","Very_small","Small","Medium","Medium","Large","Large","Small","Large","Small","No","No","No","Yes","Medium","Small","Few","Medium","Medium_decrease","Close","Very_small","Small","Medium","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Small","Small","Small","Large","Large","Large","Small","Small","Small","Medium","Small","Small","High","High","Large","Small"
"235","Cyanea longiflora",235,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",213.1938,0.466871888047446,"Medium","Small","Small","Medium","Small","Small","Small","Medium","Medium","Small","Medium","Small","No","No","No","Yes","Large","Medium","Few","Small","Large_decrease","Far","Small","Small","Small","Small","Small","Small","Medium","Small","Small","Small","Small","Large","Large","Small","Medium","Medium","Small","Medium","Large","Small","Medium","Large","Large","Medium","Medium","High","High","Large","Small"
"236","Cyanea longissima",236,"Dicot","Campanulaceae","Cyanea","Extinct","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",173.6928,0.39103502718118,"Medium","Large","Medium","Small","Small","Medium","Large","Large","Large","Medium","Large","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Small","Small","Medium","Small","Small","Small","Medium","Small","Small","Small","Large","Large","Large","Large","Large","Large","Medium","Large","Large","Small","Large","Medium","Medium","Small","Small","High","Medium","Small","Medium"
"237","Cyanea macrostegia",237,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",237.6486,0.386054057627893,"Medium","Medium","Medium","Small","Medium","Very_small","Very_large","Large","Very_large","Medium","Very_large","Small","No","No","No","Yes","Medium","Medium","Few","Medium","Medium_decrease","Far","Small","Medium","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Small","Large","Small","Small","Small","Small","High","Medium","Medium","Medium"
"238","Cyanea mannii",238,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,0,1,0,0,0,"na","Wet_mesic_forest","Mesic_shrubland","Wet_forest",34.2846,0.521801891824876,"Small","Medium","Very_small","Very_small","Very_small","Small","Small","Medium","Large","Small","Medium","Very_small","No","No","No","Yes","Large","Small","Few","Small","Large_decrease","Far","Very_small","Very_small","Small","Small","Small","Small","Medium","Medium","Medium","Small","Medium","Large","Large","Medium","Large","Large","Medium","Large","Large","Large","Medium","Medium","Large","Medium","Small","High","High","Medium","Medium"
"239","Cyanea marksii",239,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Perennial_grassland","Wet_mesic_forest",259.6464,0.429158491109582,"Medium","Medium","Small","Small","Medium","Small","Medium","Large","Large","Medium","Medium","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Small","Medium","Small","Medium","Medium","Large","Small","Small","Small","Small","Medium","Large","Large","Small","Small","Small","Small","Medium","Medium","Medium","Medium","Medium","Medium","Small","Small","Low","Low","Small","Small"
"240","Cyanea mceldowneyi",240,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",75.2409,0.422448085056346,"Small","Medium","Medium","Small","Very_small","Medium","Large","Medium","Large","Medium","Large","Small","No","No","No","Yes","Large","Small","Few","Small","Medium_decrease","Far","Small","Very_small","Medium","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Small","Small","Small","High","Medium","Small","Medium"
"241","Cyanea membranacea",241,"Dicot","Campanulaceae","Cyanea","Rare","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Wet_mesic_forest","Evergreen_shrubland","Mesic_forest",71.5329,0.544012196699466,"Small","Small","Very_small","Very_small","Small","Small","Small","Small","Medium","Small","Small","Very_small","No","No","No","Yes","Large","Small","Few","Small","Large_decrease","Far","Very_small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Medium","Large","Medium","Medium","Large","Large","Large","Large","Large","Large","Large","Medium","Low","High","Large","Small"
"242","Cyanea munroi",242,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,0,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",5.7096,0.502679532315093,"Very_small","Medium","Small","Very_small","Very_small","Small","Large","Very_small","Large","Small","Medium","Very_small","No","No","No","No","Large","none","Few","Small","Small_decr_or_inc","Close","Very_small","Very_small","Small","Small","none","Small","Small","none","Small","Small","Large","none","Large","Medium","none","Medium","Small","none","Large","Small","Small","Small","Small","none","Small","Medium","High","Large","Small"
"243","Cyanea obtusa",243,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Perennial_grassland","Perennial_grassland","Wet_mesic_forest","Wet_forest",200.2095,0.445470478701642,"Medium","Large","Small","Small","Medium","Large","Small","Small","Medium","Large","Small","Medium","No","No","No","Yes","Medium","Large","Few","Large","Small_decr_or_inc","Far","Small","Medium","Medium","Medium","Medium","Medium","Large","Medium","Small","Small","Small","Small","Medium","Small","Small","Medium","Large","Large","Large","Medium","Large","Large","Large","Large","Medium","High","High","Medium","Medium"
"244","Cyanea pilosa",244,"Dicot","Campanulaceae","Cyanea","Apparently Secure","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",1327.5567,0.232418828291624,"Very_large","Large","Large","Large","Large","Medium","Very_large","Very_large","Very_large","Large","Very_large","Large","No","No","No","Yes","Medium","Large","Many","Large","Medium_decrease","Far","Medium","Large","Medium","Medium","Medium","Large","Medium","Medium","Small","Small","Large","Large","Large","Large","Large","Large","Small","Large","Large","Small","Small","Small","Small","Small","Small","Low","Low","Small","Large"
"245","Cyanea pinnatifida",245,"Dicot","Campanulaceae","Cyanea","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Evergreen_shrubland","Wet_mesic_forest","Mesic_forest",6.9408,0.555632489486747,"Very_small","Small","Small","Very_small","Very_small","Small","Small","Very_small","Small","Medium","Small","Very_small","No","No","No","No","Large","none","Few","Small","Medium_decrease","Far","Very_small","Very_small","Small","Small","none","Small","Small","none","Small","Small","Small","none","Medium","Large","none","Medium","Large","none","Large","Medium","Small","Large","Large","none","Large","Low","High","Large","Small"
